Вакансия;Ссылка;Компания;Зарплата;Станция метро
QA automation engineer (Инженер по автоматизации тестирования Python);https://spb.hh.ru/vacancy/36472622?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Social Quantum ;QA automation engineer (Инженер по автоматизации тестирования Python);Не указано
Automation QA engineer;https://spb.hh.ru/vacancy/36651735?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ТРИНИТИ ;Automation QA engineer;Лесная
QA Engineer (Manual);https://spb.hh.ru/vacancy/35282469?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Space307 ;QA Engineer (Manual);Горьковская
Специалист по тестированию ПО;https://spb.hh.ru/vacancy/36766641?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; КОРУС Консалтинг СНГ ;Специалист по тестированию ПО;Не указано
Тестировщик / QA-инженер;https://spb.hh.ru/vacancy/36679171?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; КОРУС Консалтинг ;Тестировщик / QA-инженер;Старая Деревня
Тестировщик;https://spb.hh.ru/vacancy/36663662?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО ГАЗЕЛЬКИН, грузовая компания ;Тестировщик;Обводный Канал
QA Engineer (ручное тестирование, backend);https://spb.hh.ru/vacancy/36663141?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; TradingView ;QA Engineer (ручное тестирование, backend);Не указано
Тестировщик;https://spb.hh.ru/vacancy/35853135?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО ТаймВэб ;Тестировщик;Московские ворота
Специалист по тестированию;https://spb.hh.ru/vacancy/35648355?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Балтийский лизинг, группа компаний ;Специалист по тестированию;Балтийская
Инженер по автоматизированному тестированию (QA auto)/ In-house;https://spb.hh.ru/vacancy/36074988?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; BUIDL LLC ;Инженер по автоматизированному тестированию (QA auto)/ In-house;Петроградская
Инженер по тестированию ПО;https://spb.hh.ru/vacancy/36649822?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; SOFT TEST ;Инженер по тестированию ПО;Не указано
Manual QA Engineer / Тестировщик;https://spb.hh.ru/vacancy/36597392?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ABC.ru ;Manual QA Engineer / Тестировщик;Петроградская
Инженер по тестированию (ручное, автоматизированное тестирование);https://spb.hh.ru/vacancy/32230990?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Центральный банк Российской Федерации ;Инженер по тестированию (ручное, автоматизированное тестирование);Не указано
Ведущий QA-инженер/ специалист по тестированию;https://spb.hh.ru/vacancy/36369031?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Цифровое проектирование ;Ведущий QA-инженер/ специалист по тестированию;Не указано
QA Engineer / Специалист по тестированию;https://spb.hh.ru/vacancy/36623303?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ONDOC ;QA Engineer / Специалист по тестированию;Не указано
QA Engineer (Gamedev);https://spb.hh.ru/vacancy/36666993?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Green Button Games ;QA Engineer (Gamedev);Не указано
QA Automation engineer/ Тестировщик-автоматизатор;https://spb.hh.ru/vacancy/36625855?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Сбербанк для экспертов ;QA Automation engineer/ Тестировщик-автоматизатор;Не указано
Senior QA Engineer;https://spb.hh.ru/vacancy/36374786?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО ЦРПТ. Честный знак ;Senior QA Engineer;Не указано
Инженер по автоматизированному тестированию (QA auto);https://spb.hh.ru/vacancy/36660267?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; BUIDL LLC ;Инженер по автоматизированному тестированию (QA auto);Не указано
