Вакансия;Ссылка;Компания;Зарплата;Станция метро
Инженер-программист / тестировщик;https://spb.hh.ru/vacancy/34548100?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Специальный Технологический Центр ;Инженер-программист / тестировщик;Площадь Мужества
Intern QA Engineer (Global Continious Integration);https://spb.hh.ru/vacancy/36320505?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;Intern QA Engineer (Global Continious Integration);Елизаровская
Java Developer in Testing / QA engineer;https://spb.hh.ru/vacancy/36666882?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; HUAWEI ;Java Developer in Testing / QA engineer;Пушкинская
Стажер-аналитик в отдел разработки мобильной платформы;https://spb.hh.ru/vacancy/36661767?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Форсайт ;Стажер-аналитик в отдел разработки мобильной платформы;Чёрная речка
Старший инженер по тестированию/ Senior software QA Engineer (автотесты на Python);https://spb.hh.ru/vacancy/36631666?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО КНС ГРУПП ;Старший инженер по тестированию/ Senior software QA Engineer (автотесты на Python);Площадь Ленина
Программист 1С;https://spb.hh.ru/vacancy/35913715?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Янус ;Программист 1С;Старая Деревня
JAVA-разработчик;https://spb.hh.ru/vacancy/36654705?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО Сбербанк - Технологии ;JAVA-разработчик;Не указано
UX/UI Designer (Vehicle Builder);https://spb.hh.ru/vacancy/36677974?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ARRIVAL LTD ;UX/UI Designer (Vehicle Builder);Не указано
Senior QA Engineer;https://spb.hh.ru/vacancy/36636447?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Netcracker Technology Corp. ;Senior QA Engineer;Не указано
Middle/Senior Full-stack Java/JS разработчик;https://spb.hh.ru/vacancy/36691467?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; EGAR TECHNOLOGY, INC. ;Middle/Senior Full-stack Java/JS разработчик;Не указано
Технический писатель ( Беспилотное направление);https://spb.hh.ru/vacancy/35902773?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Группа «Кронштадт» ;Технический писатель ( Беспилотное направление);Не указано
Системный аналитик;https://spb.hh.ru/vacancy/35108137?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО ГАЗИНФОРМСЕРВИС ;Системный аналитик;Не указано
Test Automation Engineer (Phoenix);https://spb.hh.ru/vacancy/36643662?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; T-Systems RUS ;Test Automation Engineer (Phoenix);Не указано
Технический специалист / тестировщик;https://spb.hh.ru/vacancy/36121864?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;Компания, имеющая за плечами 13-летнюю историю игродела ;Технический специалист / тестировщик;Не указано
Старший QA (Python);https://spb.hh.ru/vacancy/36628527?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Город Иннополис ;Старший QA (Python);Не указано
Middle Front-End Developer (AEM);https://spb.hh.ru/vacancy/35568381?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Veeam Software ;Middle Front-End Developer (AEM);Не указано
DevOps engineer;https://spb.hh.ru/vacancy/36663578?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Paragon Software ;DevOps engineer;Не указано
IOS разработчик;https://spb.hh.ru/vacancy/36191635?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Форсайт ;IOS разработчик;Чёрная речка
Senior Software Engineer ( на Кипр );https://spb.hh.ru/vacancy/36552873?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Wisebits ;Senior Software Engineer ( на Кипр );Не указано
QA engineer PSC (МФ);https://spb.hh.ru/vacancy/36624532?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Nexign (АО «Нэксайн») ;QA engineer PSC (МФ);Не указано
JavaScript developer;https://spb.hh.ru/vacancy/36292589?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Fora Soft (Фора Софт) ;JavaScript developer;Технологический институт
Системный аналитик;https://spb.hh.ru/vacancy/34111990?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Солантек ;Системный аналитик;Чкаловская
Java разработчик (Миграция Legacy систем);https://spb.hh.ru/vacancy/36647531?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Сбербанк для экспертов ;Java разработчик (Миграция Legacy систем);Не указано
QA Engineer;https://spb.hh.ru/vacancy/36614159?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; HUAWEI ;QA Engineer;Не указано
IT-инженер/DevOps engineer;https://spb.hh.ru/vacancy/35097057?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; EmDev ;IT-инженер/DevOps engineer;Не указано
Senior Front-end developer (React);https://spb.hh.ru/vacancy/36691820?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; OpenWay Group ;Senior Front-end developer (React);Выборгская
Senior Android Developer;https://spb.hh.ru/vacancy/34468566?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Тензор ;Senior Android Developer;Не указано
Senior QA engineer / Ведущий QA;https://spb.hh.ru/vacancy/36614135?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; OctoBox ;Senior QA engineer / Ведущий QA;Пионерская
Аналитик отдела разработки мобильной платформы;https://spb.hh.ru/vacancy/36156079?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Форсайт ;Аналитик отдела разработки мобильной платформы;Чёрная речка
Аккаунт-менеджер (португальский язык);https://spb.hh.ru/vacancy/36634812?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Правовед.RU ;Аккаунт-менеджер (португальский язык);Не указано
Заместитель руководителя ИТ-хаба (с опытом управления разработкой информационных систем);https://spb.hh.ru/vacancy/36141735?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Центральный банк Российской Федерации ;Заместитель руководителя ИТ-хаба (с опытом управления разработкой информационных систем);Не указано
Level Artist;https://spb.hh.ru/vacancy/36620330?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Sperasoft ;Level Artist;Фрунзенская
Продавец-консультант / Консультант марки (косметика класса люкс);https://spb.hh.ru/vacancy/36359736?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Brainpower CIS ;Продавец-консультант / Консультант марки (косметика класса люкс);Не указано
Ведущий QA инженер (ведущий тестировщик);https://spb.hh.ru/vacancy/36661225?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО ДомКом Инвест ;Ведущий QA инженер (ведущий тестировщик);Не указано
Ведущий продуктовый менеджер;https://spb.hh.ru/vacancy/35664003?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Форсайт ;Ведущий продуктовый менеджер;Чёрная речка
